name,president,email,url,facebook,membership,about,date_established
Anatomy Society,Chloe Manning,uclu-anatomy.society@uclu.ac.uk,,https://www.facebook.com/ucluanatomysociety,5.00,"UCLU’s first ever anatomy society! All welcome, whether you study anatomy or not.  We will learn anatomy in novel and interactive ways and hold regular socials for our anatomy enthusiasts.  Buy membership now and get access to this academic year's events including:  Anatomy drawing sessions - experience anatomy through an artist's eyes and pick up drawing skills, whether you're a beginner or an accomplished drawer.  Talks from eminent anatomists, including the Editor-and-Chief of Gray's Anatomy.  Practical & theoretical workshops on passing anatomy modules, taught by our tutors.  Anatomy Society Dinners  Anatomy Winter Pub Quiz   and much more!",July 2015
Amnesty International Society,Sreedevi Nair,uczxami@ucl.ac.uk,,http://ucluamnestysoc.wordpress.com/2012/11/25/welcome-to-the-amnesty-society-blog/,2.00,"Amnesty International is a worldwide movement of people who campaign for internationally recognized human rights independently of any political party or religion. Our Amnesty group at UCL works to raise funds in support of amnesty campaigns and also to raise awareness of human rights violations occurring throughout the world. We have fundraising events throughout the year. We also watch films together, go on pub crawls with other London Amnesty groups, have many guest speakers and are constantly writing letters! If you want to make a difference, meet new people and have some fun in doing so then this is the society for you! ",
American Football Club,,uclu-americanfootballclub@ucl.ac.uk,,https://www.facebook.com/UCLEmperors,65.00,/sites/uclu.org/files/u3880/thumb_bucs-logo.jpg The UCLU American Football Club was re-established in October 2015. We have just finished an affiliate year and will be participating in BUCS Leagues at the start of the 2016 season.  Our divisional rivals (London 2A) for 2016 will include:  - Westminster Dragons  - UEL Titans  - City College Sentinels  - Greenwich Mariners  - LSBU Spartans  Watch out for a UCL/ King’s varsity match later in the year.  We hope to also establish a Flag Football team in 2016.  Find Emperors stash at:  www.footballamerica.co.uk/team…  Email us at: uclu-americanfootballclub@ucl.ac.uk  We are the UCL Emperors.     This Club is Pride in Sport Accredited  ,October 2015
Amateur Boxing Club,Mikhail Blyumin,uczxabc@ucl.ac.uk,,https://www.facebook.com/pages/UCLUABC-University-College-London-Union-Amateur-Boxing-Club/273213541217,25.00,"UCLUABC provides fitness sessions for all - the best way to get in shape and to get fit. UCLUABC provides boxing lessons from the basics right up to advanced levels - whether you’re looking to increase your sporting ability, to get fit, to get ripped or just to learn how to box, these sessions will cater for all. UCLUABC also arranges morning running sessions for those keen athletes who are part of the team. UCLUABC regularly holds social events and organises trips to sporting events. Membership can be obtained through the UCL Union website ( http://uclu.org/shop/ ) or at the Clubs & Societies Centre (2nd floor of the UCL Bloomsbury Building). Visit http://www.ucluabc.co.uk/ for more information.    This Club is Pride in Sport Accredited  ",
Albanian Society,Yll Buzoku,,,https://www.facebook.com/groups/203386196461651/,2.00,"If you are interested in Albania, why not join the UCLU Albanian Society? This society provides a window of information for anybody interested in Albanian Culture, history and current affairs. Come and join us for an insight into all things Albanian.  UCLU Albanian Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
Aikido Club,Muhammed Atay,uclu-aikido.club@ucl.ac.uk,,,5.00,"The Aikido club provides traditional non competitive Aikido training with two experienced instructors. All levels are welcome, from beginners to experts.  Classes are currently twice a week on Wednesdays 6:00pm to 8:00pm led by Paul and Saturdays 10:00am to 12:00 led by Barbara, taking part in the Bloomsbury Fitness Centre.  There is no fee per session for members and those trialing membership, only access to Bloomsbury Fitness is required.  Please address any questions to uclu-aikido.club@ucl.ac.uk",
AIESEC Society,Yui Wong,uczxaie@ucl.ac.uk,,https://www.facebook.com/ucluaiesec/?fref=ts,5.00,"AIESEC is an international student organization, with 60 years of existence, over 86,000 members, 113 countries and 2100 universities involved. It is a platform for students to develop into future leaders to make this world a better place. Through exchanges, conferences, different events, networking opportunities and activities, we believe that AIESEC UCL will inspire you and provide you with what is needed to have a life-changing experience.  UCLU AIESEC Society have signed the Zero Tolerance to Sexual Harassment Pledge .",
Ahlul-Bayt Society,Batoul Al-Kaaby,uczxabs@ucl.ac.uk,,https://www.facebook.com/uclu.absoc?fref=ts,4.00,"Man is either your brother in religion or your brother in humanity (Imam Ali, successor to the Holy Prophet) Ahlul Bayt refers to the household of the last Islamic Prophet, Muhammed (PBUH). We aim to explore the teachings of Islam as taught by the Prophet and his household, teachings which emphasise on logic and intellect. We aim to hold events to understand Islamic philosophy which encompasses every aspect of our lives from spirituality, sociology, psychology, to politics, economics, and even ecology. We have a diverse member base and welcome everyone, all religions and no religion and we aim to dialogue and exchange ideas freely as well as learn and socialize. We will be holding socials, controversial talks with world renowned speakers and thought provoking discussions on topics relevant to us as students today. ",
African Caribbean Society,Chinaza Johnny-Chukwu,uclu-afro-caribbean-society@ucl.ac.uk,,https://www.facebook.com/ucluacs,5.00,"UCLU ACS is a student run organization providing a wide range of opportunities for its members and the wider community. Our aim is to educate, empower, entertain and engage our members.  We host a range of social and cultural events which include “Back To The Roots”, our cultural arts and craft exhibition that gives students the opportunity to taste exotic dishes from across Africa and the Caribbean and our masterpiece "" PANAFRIK ""  which is in February! The show highlights and displays Afro-Caribbean culture in the forms of fashion, poetry, music, comedy and dance .  We also provide career initiatives, networking events and volunteering opportunities which help our members become the well rounded individuals needed in the corporate world.  Our society is open to EVERYONE! So feel FREE to come along to all our events! They are almost always FREE for members!  For more information please visit our following pages:  Website: http://www.ucluacs.com   Facebook: https://www.facebook.com/ucluacs  Twitter: https://twitter.com/uclu_acs  UCLU African Caribbean Society have signed the Zero Tolerance to Sexual Harassment Pledge .",September 2000
"Advertising, Marketing and PR Society",Yoon Shin,,,https://www.facebook.com/uclampsoc,2.00,"The UCL Advertising, Marketing & PR Society is the only UCL society that gives students the opportunity to explore every aspect of these industries. Our aim is to organise speaker events and careers workshops that will appeal to anyone with an interest in the fields of Advertising, Marketing or PR. These events will provide advice and networking opportunities to those considering a career in these areas. We also want to give our members the opportunity to get some hands on experience by working on marketing projects for other university societies and clubs, as well as some local businesses. Finally, we will organise social events, giving members the chance to meet similarly interested people and share their creative ideas.",January 2014
